日期,代號,名稱,市場,開盤價,最高價,最低價,收盤價,昨收價,漲跌幅%,成交張數,成交金額,均價,振幅%,可當沖
20260520,0050,元大台灣50,上市,93.0,93.5,92.45,92.5,93.1,-0.64,121650,11289688382,92.8,1.13,True
20260520,0051,元大中型100,上市,127.75,128.95,127.65,128.2,127.74999999999999,0.35,81,10458267,128.21,1.02,True
20260520,0052,富邦科技,上市,54.75,55.0,54.4,54.45,54.800000000000004,-0.64,28912,1579337358,54.62,1.09,True
20260520,0053,元大電子,上市,213.6,214.3,211.65,212.25,212.25,0.0,15,3293227,213.35,1.25,True
20260520,0055,元大MSCI金融,上市,33.91,34.1,33.86,33.97,33.91,0.18,239,8124872,33.94,0.71,True
20260520,0056,元大高股息,上市,44.15,44.46,44.0,44.04,44.01,0.07,28691,1268211395,44.2,1.05,True
20260520,0057,富邦摩台,上市,275.8,277.6,274.3,274.65,276.95,-0.83,48,13240915,275.0,1.19,True
20260520,0061,元大寶滬深,上市,24.7,24.86,24.7,24.79,24.65,0.57,160,3985973,24.78,0.65,True
20260520,1101,台泥,上市,24.3,24.4,24.0,24.15,24.2,-0.21,25264,610375966,24.16,1.65,True
20260520,1102,亞泥,上市,35.0,35.0,34.5,34.5,34.8,-0.86,8318,287906786,34.61,1.44,True
20260520,1103,嘉泥,上市,12.95,13.1,12.9,13.0,13.05,-0.38,300,3914102,13.01,1.53,True
20260520,1104,環泥,上市,27.45,27.5,27.3,27.4,27.45,-0.18,610,16715593,27.38,0.73,True
20260520,1108,幸福,上市,13.7,13.8,13.65,13.8,13.8,0.0,181,2485208,13.71,1.09,True
20260520,1109,信大,上市,14.45,14.6,14.45,14.6,14.6,0.0,87,1267145,14.52,1.03,True
20260520,1110,東泥,上市,14.1,14.1,13.9,13.9,14.200000000000001,-2.11,126,1765738,13.99,1.41,True
20260520,1201,味全,上市,12.1,12.15,12.0,12.1,12.0,0.83,356,4308308,12.1,1.25,True
20260520,1203,味王,上市,41.2,41.65,40.25,41.65,40.75,2.21,34,1388643,40.7,3.44,True
20260520,1210,大成,上市,53.5,53.6,52.8,53.0,53.5,-0.93,1669,88780813,53.16,1.5,True
20260520,1213,大飲,上市,8.45,8.45,8.21,8.43,8.2,2.8,15,127344,8.32,2.93,True
20260520,1215,卜蜂,上市,141.5,144.0,139.0,142.0,141.5,0.35,1747,248680150,142.27,3.53,True
20260520,1216,統一,上市,74.8,74.8,72.7,73.4,74.80000000000001,-1.87,13838,1015987281,73.42,2.81,True
20260520,1217,愛之味,上市,9.44,9.44,9.38,9.42,9.38,0.43,399,3764617,9.42,0.64,True
20260520,1218,泰山,上市,18.6,18.6,18.45,18.45,18.55,-0.54,309,5735373,18.51,0.81,True
20260520,1219,福壽,上市,12.6,12.6,12.45,12.5,12.65,-1.19,707,8850309,12.51,1.19,True
20260520,1220,台榮,上市,11.95,11.95,11.8,11.8,11.950000000000001,-1.26,155,1836203,11.85,1.26,True
20260520,1225,福懋油,上市,28.7,29.0,28.7,28.8,29.1,-1.03,90,2623915,28.88,1.03,True
20260520,1227,佳格,上市,28.5,28.5,28.1,28.3,28.5,-0.7,1209,34177905,28.25,1.4,True
20260520,1229,聯華,上市,38.65,38.65,38.25,38.3,38.65,-0.91,3565,136771672,38.36,1.03,True
20260520,1231,聯華食,上市,87.4,87.8,86.2,86.6,87.39999999999999,-0.92,289,25076492,86.68,1.83,True
20260520,1232,大統益,上市,148.0,149.0,147.5,149.0,148.0,0.68,76,11315010,148.09,1.01,True
20260520,1233,天仁,上市,28.55,28.6,28.55,28.55,28.650000000000002,-0.35,9,282775,28.59,0.17,True
20260520,1234,黑松,上市,34.0,34.05,33.45,33.75,34.0,-0.74,110,3727999,33.64,1.76,True
20260520,1235,興泰,上市,39.7,39.8,36.8,37.0,40.5,-8.64,67,2568734,37.91,7.41,True
20260520,1236,宏亞,上市,23.9,23.9,23.45,23.7,23.7,0.0,43,1022888,23.63,1.9,True
20260520,1256,鮮活果汁-KY,上市,185.0,189.0,183.0,183.0,183.5,-0.27,111,20663710,185.09,3.27,True
20260520,1301,台塑,上市,45.95,46.1,45.0,45.4,45.949999999999996,-1.2,18859,855494392,45.36,2.39,True
20260520,1303,南亞,上市,82.3,82.8,80.4,80.8,81.7,-1.1,45033,3659626834,81.27,2.94,True
20260520,1304,台聚,上市,12.15,12.3,11.95,12.15,12.15,0.0,4632,55889901,12.07,2.88,True
20260520,1305,華夏,上市,12.5,12.6,12.2,12.45,12.5,-0.4,2731,33775396,12.37,3.2,True
20260520,1307,三芳,上市,31.65,31.7,31.35,31.35,31.650000000000002,-0.95,539,16976864,31.46,1.11,True
20260520,1308,亞聚,上市,13.2,13.2,12.9,13.1,13.15,-0.38,1691,22050592,13.03,2.28,True
20260520,1309,台達化,上市,15.5,15.8,15.25,15.55,15.5,0.32,3661,56683972,15.48,3.55,True
20260520,1310,台苯,上市,7.98,8.03,7.94,7.98,7.970000000000001,0.13,1609,12842888,7.98,1.13,True
20260520,1312,國喬,上市,10.6,10.6,10.3,10.4,10.5,-0.95,3932,40977724,10.42,2.86,True
20260520,1313,聯成,上市,10.5,10.55,10.35,10.5,10.5,0.0,1839,19217163,10.45,1.9,True
20260520,1314,中石化,上市,6.96,7.03,6.94,7.02,6.9399999999999995,1.15,10255,71722504,6.99,1.3,True
20260520,1315,達新,上市,60.4,60.4,60.3,60.4,61.0,-0.98,5,322020,60.41,0.16,True
20260520,1316,上曜,上市,10.45,10.75,10.25,10.6,10.4,1.92,2759,28914916,10.48,4.81,True
20260520,1319,東陽,上市,80.0,81.2,79.5,80.6,80.0,0.75,2094,168433359,80.4,2.13,True
20260520,1321,大洋,上市,29.45,29.75,29.35,29.6,29.450000000000003,0.51,203,5995709,29.51,1.36,True
20260520,1323,永裕,上市,19.9,19.95,19.75,19.9,20.0,-0.5,65,1310272,19.87,1.0,True
20260520,1324,地球,上市,10.25,10.25,10.15,10.2,10.25,-0.49,29,296059,10.2,0.98,True
20260520,1325,恆大,上市,27.9,27.9,26.7,26.95,27.55,-2.18,631,17091092,27.07,4.36,True
20260520,1326,台化,上市,45.0,45.25,44.25,44.55,44.9,-0.78,12830,572435411,44.61,2.23,True
