代號,名稱,收盤,漲跌,開盤,最高,最低,成交股數,成交金額(元),成交筆數,市場
00679B,元大美債20年,26.08,-0.14,26.14,26.14,26.04,"89,472,000","2,334,378,340","8,352",上櫃
00687B,國泰20年美債,27.12,-0.14,27.13,27.14,27.05,"29,766,000","806,866,350","3,055",上櫃
00687C,國泰20年美債+櫃U,9.03,-0.06,9.03,9.03,9.03,"25,000","225,750",2,上櫃
00694B,富邦美債1-3,41.64,+0.04,41.60,41.67,41.59,"308,000","12,821,090",28,上櫃
00695B,富邦美債7-10,34.75,-0.09,34.79,34.79,34.71,"912,000","31,705,630",29,上櫃
00696B,富邦美債20年,28.15,-0.12,28.17,28.17,28.09,"3,670,000","103,300,960",137,上櫃
00697B,元大美債7-10,35.27,-0.11,35.38,35.38,35.20,"1,190,000","42,022,170",139,上櫃
00719B,元大美債1-3,30.92,-0.02,30.93,30.97,30.90,"5,207,000","161,035,920",603,上櫃
00720B,元大投資級公司債,32.30,-0.17,32.31,32.32,32.26,"10,352,000","334,250,060","1,963",上櫃
00722B,群益投資級電信債,35.15,-0.22,35.30,35.30,35.13,"3,443,000","121,049,880",334,上櫃
00723B,群益投資級科技債,30.09,-0.18,30.11,30.15,30.07,"687,000","20,682,080",36,上櫃
00724B,群益投資級金融債,33.11,-0.18,33.27,33.27,33.08,"6,357,000","210,487,670",226,上櫃
00725B,國泰投資級公司債,34.37,-0.20,34.49,34.49,34.34,"5,992,000","205,946,020","1,112",上櫃
00726B,國泰新興投等債,32.33,-0.13,32.39,32.39,32.26,"441,000","14,249,260",60,上櫃
00727B,國泰優選非投等債,39.34,+0.07,39.27,39.34,39.27,"120,000","4,718,060",10,上櫃
00734B,台新JPM新興債,15.48,-0.16,15.49,15.49,15.48,"6,000","92,890",2,上櫃
00740B,富邦全球投等債,37.83,-0.22,37.96,37.99,37.81,"1,894,000","71,655,680",260,上櫃
00741B,富邦全球非投等債,37.13,+0.01,37.12,37.18,37.12,"119,000","4,419,820",10,上櫃
00746B,富邦A級公司債,34.83,-0.18,34.86,34.90,34.83,"1,102,000","38,417,210",42,上櫃
00749B,凱基新興債10+,30.90,-0.24,30.90,30.97,30.90,"122,000","3,775,700",8,上櫃
00750B,凱基科技債10+,32.33,-0.17,32.35,32.35,32.33,"101,000","3,265,350",3,上櫃
00751B,元大AAA至A公司債,31.01,-0.18,31.03,31.06,30.98,"9,390,000","291,160,140","1,609",上櫃
00754B,群益AAA-AA公司債,32.58,-0.19,32.61,32.61,32.54,"312,000","10,161,640",27,上櫃
00755B,群益投資級公用債,31.90,-0.18,31.90,31.94,31.87,"244,000","7,787,080",31,上櫃
00756B,群益投等新興公債,30.38,-0.19,30.55,30.55,30.37,"187,000","5,686,160",56,上櫃
00758B,復華能源債,50.35,除息,50.30,50.35,50.30,"102,000","5,135,600",3,上櫃
00759B,復華製藥債,53.10,除息,53.10,53.10,53.10,"104,000","5,522,400",6,上櫃
00760B,復華新興企業債,52.55,除息,52.20,52.65,52.20,"121,000","6,354,650",10,上櫃
00761B,國泰A級公司債,33.59,-0.21,33.79,33.79,33.56,"828,000","27,815,110",65,上櫃
00764B,群益25年美債,27.13,-0.14,27.18,27.18,27.08,"6,690,000","181,510,920",152,上櫃
00768B,復華20年美債,48.42,除息,48.45,48.46,48.35,"846,000","40,964,430",195,上櫃
00772B,中信高評級公司債,32.93,-0.16,33.05,33.05,32.90,"4,568,000","150,430,130",808,上櫃
00773B,中信優先金融債,35.15,-0.16,35.20,35.20,35.11,"2,045,000","71,891,690",123,上櫃
00777B,凱基AAA至A公司債,31.85,-0.20,31.85,31.86,31.85,"102,000","3,248,710",4,上櫃
00778B,凱基金融債20+,33.74,-0.21,33.74,33.74,33.71,"111,000","3,742,140",4,上櫃
00779B,凱基美債25+,27.45,-0.18,27.45,27.46,27.42,"341,000","9,363,300",11,上櫃
00780B,國泰A級金融債,36.62,-0.14,36.63,36.63,36.58,"286,000","10,468,110",15,上櫃
00781B,國泰A級科技債,28.12,-0.13,28.19,28.19,28.06,"170,000","4,777,100",23,上櫃
00782B,國泰A級公用債,29.81,-0.13,29.85,29.85,29.78,"136,000","4,055,950",21,上櫃
00785B,富邦金融投等債,34.30,-0.19,34.21,34.31,34.21,"71,000","2,435,410",6,上櫃
00786B,元大10年IG銀行債,32.32,-0.13,32.31,32.32,32.30,"57,000","1,841,810",6,上櫃
00787B,元大10年IG醫療債,31.94,-0.21,31.95,31.95,31.94,"19,000","606,870",5,上櫃
00788B,元大10年IG電能債,29.28,-0.15,29.30,29.32,29.22,"107,000","3,133,310",16,上櫃
00789B,復華公司債A3,47.18,-0.27,47.19,47.19,47.15,"922,000","43,498,380",10,上櫃
00791B,復華信用債1-5,56.45,+0.05,56.45,56.45,56.45,"100,000","5,645,000",2,上櫃
00792B,群益A級公司債,31.18,-0.20,31.36,31.36,31.17,"247,000","7,704,670",23,上櫃
00793B,群益AAA-A醫療債,30.23,-0.15,30.23,30.23,30.23,"50,000","1,511,500",2,上櫃
00795B,中信美國公債20年,26.03,-0.13,26.07,26.07,25.96,"9,459,000","246,065,960","1,005",上櫃
00799B,國泰A級醫療債,28.85,-0.17,29.00,29.00,28.83,"343,000","9,904,820",81,上櫃
00834B,第一金金融債10+,33.57,-0.13,33.60,33.60,33.55,"102,000","3,424,150",4,上櫃
00836B,永豐10年A公司債,28.30,-0.18,28.30,28.30,28.28,"83,000","2,348,810",10,上櫃
00840B,凱基IG精選15+,29.34,-0.18,29.25,29.34,29.25,"101,000","2,963,250",3,上櫃
00841B,凱基AAA-AA公司債,28.24,-0.18,28.18,28.24,28.18,"101,000","2,852,180",3,上櫃
00842B,台新美元銀行債,29.96,-0.10,30.01,30.01,29.75,"72,000","2,154,790",40,上櫃
00844B,新光15年IG金融債,30.85,-0.18,30.85,30.85,30.85,"160,000","4,936,000",2,上櫃
